artist,song,line
Charles Hamilton,Saving Grace,God make me shine like the sun (God make me shine like the sun)
Charles Hamilton,Saving Grace,God make me shine like the sun (God make me shine like the sun)
Eminem,Guilty Conscience,"You know what, Dre? I don't like your attitude"
Xzibit,My Name,Seems like your mouth is not connected to your brain
Xzibit,My Name,And now you tryna act like my rival?
Xzibit,My Name,Seems like your mouth is not connected to your brain
Xzibit,My Name,Seems like your mouth is not connected to your brain
Eminem,Square Dance,Hun-ga-ry like a fuckin' younger me
Fat Joe,Kilo,"I plays it like a cello, I pull them strings"
Fat Joe,Kilo,Cut keys like a locksmith
Fat Joe,Kilo,"Still got wet, they on water like a sailor"
Fat Joe,Kilo,(Better be) put two holes in yo' ass like the letter B
Slum Village,Selfish,"And this one here is a heatrocks, spit like a beat box"
Aesop Rock,None Shall Pass,‘Cause he wouldn't play rollover fetch like a bitch
Trey Songz,Bottoms Up,"Money stay in my pocket, girl, I'm like a walkin' bank"
Trey Songz,Bottoms Up,Do you hear me? Do you like my body? Anna Nicki
Wale,DC Gorillaz,I'm not moving like a cartoon
Wale,DC Gorillaz,It's lopsided like a AA college student trying to undertake a D1 scholar
Wale,DC Gorillaz,"Like the first Nintendo, the blinking red light"
Wale,DC Gorillaz,I move the club like a poker dealer
Wale,DC Gorillaz,I'm getting cheese like my teeth touching and cheeks puffy
Lupe Fiasco,A Bathing Harry,But never three times like an auction to it
Dr. Dre,Fuck You,"You be workin' it like a dancer, bitch; it's hard on me"
Ying Yang Twins,Salt Shaker,Roll like an 18-wheeler
Ying Yang Twins,Salt Shaker,Shake it like a salt shaker (shake it like a salt shaker)
Ying Yang Twins,Salt Shaker,Shake it like a salt shaker (shake it like a salt shaker)
Ying Yang Twins,Salt Shaker,Roll like an 18-wheeler
Ying Yang Twins,Salt Shaker,Shake it like a salt shaker (shake it like a salt shaker)
Ying Yang Twins,Salt Shaker,Shake it like a salt shaker (shake it like a salt shaker)
Ying Yang Twins,Salt Shaker,Roll that ass round & round like a motherfucking wheel
Ying Yang Twins,Salt Shaker,Roll that ass round & round like a motherfucking wheel
Ying Yang Twins,Salt Shaker,Roll like an 18-wheeler
Ying Yang Twins,Salt Shaker,Shake it like a salt shaker (shake it like a salt shaker)
Ying Yang Twins,Salt Shaker,Shake it like a salt shaker (shake it like a salt shaker)
Ying Yang Twins,Salt Shaker,"Shake it like a dollar, 5, or 10"
Ying Yang Twins,Salt Shaker,Work it like a game that you playing to win
Ying Yang Twins,Salt Shaker,Roll like an 18-wheeler
Ying Yang Twins,Salt Shaker,Shake it like a salt shaker (shake it like a salt shaker)
Ying Yang Twins,Salt Shaker,Shake it like a salt shaker (shake it like a salt shaker)
Snoop Dogg,Bitch Please,"Strangle your neck, slap you like the opposite sex"
Snoop Dogg,Bitch Please,While other rappers gettin' Treated Like a Prostitute
Beastie Boys,Intergalactic,I like my sugar with coffee and cream
Beastie Boys,Intergalactic,Goin' to shine like a sunbeam
Beastie Boys,Intergalactic,The rhymes will spread just like a pox
Beastie Boys,Intergalactic,"'Cause the music is live, like an electric shock"
Beastie Boys,Intergalactic,Like a pinch on the neck of Mr. Spock
Dr. Dre,Under Pressure,And I’ma treat every day like the weekend
Xzibit,Dont Approach Me,"Yo, I feel like my whole life is upside down"
Xzibit,Dont Approach Me,"Changin' your channel, you played like a fuckin' piano"
Eminem,Hellbound,"My pen 'bout as sharp as a dagger, walk with a swagger"
Eminem,Hellbound,My shit go as deep and as dark as a train tunnel
Eminem,Murder Murder,Out the window like the girl in Set It Off did
Eminem,Murder Murder,"Too many siren sounds, it seemed like a thousand police cars"
Pink Floyd,Shine On You Crazy Diamond Pts. 1-5,You shone like the Sun
Cam'ron,1st of The Month,"We're more like a movement, more like in tune with"
Cam'ron,1st of The Month,I'm more like a thug misproving the odds
Cam'ron,1st of The Month,Barking like a Doberman
Yo Gotti,Look In The Mirror Remix,"Look's like a chandelier, look in the mirror"
Yo Gotti,Look In The Mirror Remix,"My bitch like a coke bottle, your bitch like a Pepsi can"
Yo Gotti,Look In The Mirror Remix,"Magneto, blew up like a torpedo"
Yo Gotti,Look In The Mirror Remix,Game strong like the arm on Marino
Eminem,Kim,I hate this song! Does this look like a big joke? (No!)
Lucid Dreams,Spinning Tops,I'm like a pill mixed with an ill dose of crystal meth
Lucid Dreams,Spinning Tops,"Got girls of all flavor, like the Fanta dames"
Lucid Dreams,Spinning Tops,So I throw my 3s up like the half's ending
Lucid Dreams,Spinning Tops,I flip words like my phone when I write texts
Lucid Dreams,Spinning Tops,The world turns to shambles but I remain like a candle
Kanye West,Christian Dior Denim Flow,Still giving you it all like the coffin's near
Kanye West,Christian Dior Denim Flow,"Ball like a SuperSonic, make the haters vomit (Ugh!)"
Kanye West,Christian Dior Denim Flow,"Now I’m back like a nine-milli, running New York City"
B.o.B,Nothin on You,Like a Nintendo 64 (64)
Chris Brown,Deuces Remix,"Go on, got me hot, smokin' like a chimney"
Snoop Dogg,That Tree,"Groupies, on my head like a cufi"
Eminem,The Warning,'Cause every time you do it's like an overload of fibs
Eminem,The Warning,It cuts like a (Knife) when I tell you get a (Life)
Lil Wayne,What’s Wrong With Them,So we get high till it feel like the sky low
Lil Wayne,What’s Wrong With Them,I rock like a fossil
Lil Wayne,What’s Wrong With Them,Red Light on your head like a fucking recorder now
The Roots,Game Theory,Night-riding on 'em like my last name Hasselhoff
The Roots,Game Theory,With lyrics I pack like a nine-millimal'
Pharoahe Monch,Simon Says,"Rock, clock dollars, flip tips like a waiter"
A Tribe Called Quest,Check the Rhime,"I'm like an energizer 'cause, you see, I last long"
A Tribe Called Quest,Check the Rhime,"Well, off to better things like a hip-hop forum"
Ice Cube,Hood Robbin,Now I'm in Wonderland feeling like the Son of Sam
Kanye West,Good Morning,"I'm like the fly Malcolm X, buy any jeans necessary"
Fort Minor,Be Somebody,You ever feel like the pressure's too much to take?
Fort Minor,Be Somebody,"See I'm know 'em by heart, like a brain in my chest"
Lil Wayne,YM Salute,So salute me like a general
Lil Wayne,YM Salute,Always on top and I’m a chief like a Seminole
Lil Wayne,YM Salute,And we’ll take the game out your hands like a joy stick
Lil Wayne,Hold Up,Pass that bitch down like an heirloom
Lil Wayne,Hold Up,"Send my B's at you, like a motherfucking flower"
Ice Cube,Ghetto Bird,"""So fly like an eagle."""
Canibus,Levitibus,A dose of polaramine makes it feel like a dream
Canibus,Levitibus,A master like the honorable Earl of Carnarvon
Immortal Technique,Industrial Revolution,I leave you full of clips like the Moon blocking the Sun
Immortal Technique,Industrial Revolution,"Like an escape tunnel in prison, I started from scratch"
Immortal Technique,Industrial Revolution,Trying to control perspective like an acid flashback
Immortal Technique,Industrial Revolution,Like the Bush administration gave to the Taliban
Joe Budden,Black Cloud,Which makes me as fake as the puppets that I speak of disgusted
MF DOOM,All Outta Ale,"Like a bat out of hell, tripped on a cat tail"
MF DOOM,All Outta Ale,"Mind like a sewer, servin' rhyme on a skewer"
MF DOOM,All Outta Ale,"Whoever don't feel him, feel balls like a goalie"
King Geedorah,The Fine Print,"Or did he just bring the butter, like the cookie chessmen"
King Geedorah,The Fine Print,"""Are you a homo? (Like the others)"
Gk,Never Let You Go,Like a 2 mil rock on the hand of my chick
MF DOOM,Gas Drawls,Rhymes is chosen like the weapons of war
MF DOOM,Gas Drawls,Two times a day with brothers that's tight like a noose
Method Man & Redman,Da Rockwilder,"Still homes, I'm never satisfied like the Stones"
Harlem Shakes,Sickos,I'd always stand out like a sore thumb
OutKast,Hey Ya,"Shake it like a Polaroid picture, hey ya!"
OutKast,Hey Ya,Shake it like a Polaroid picture
Das EFX,Freakit,Cause now I rush the mic just like a batter rushed the pitcher
MF DOOM,Red and Gold,"He's like a ventriloquist, with his fist in the speaker's back"
MF DOOM,Red and Gold,"It's like a mosquito, the much sweeter resent the act"
MF DOOM,Hey,Then it hit me like the point of intoxication
MF DOOM,Hey,"Like a pack of Big Bambú, with natural glue"
Emily Dickinson,Im Nobody Who Are You?,How public—like a Frog—
BET,2010 BET Hip Hop Awards - Cypher 5,West Hollywood feels like a bunny night
BET,2010 BET Hip Hop Awards - Cypher 5,Still tied to the streets like a hitch knot
BET,2010 BET Hip Hop Awards - Cypher 5,"And if you bite me, it’s good for you like a vegatable"
BET,2010 BET Hip Hop Awards - Cypher 5,I recognise games like the ESPY’s
BET,2010 BET Hip Hop Awards - Cypher 5,Least it came with a few toys like a happy meal
Asher Roth,Rik Smits,Like the enemy is energy
dead prez,They Schools,Like a baby nine
dead prez,They Schools,School is like a 12 step brainwash camp
dead prez,They Schools,"You either get paid or locked up, the principal is like a warden"
Raekwon,Ice Cream,"Caught me like a freshwater scrod, or may I not be God?"
Raekwon,Ice Cream,"Goddamn, backyard's banging like a Benzi"
Raekwon,Ice Cream,"Ice cream, you got me falling out like a cripple"
Raekwon,Ice Cream,Call me if you wanna get dug like the pockets
Raekwon,Ice Cream,"I jizz 'em like a giant, break wombs out of the sockets"
Craig David,7 Days DJ Premier Remix,"Seem like the perfect match for me, so she said to me"
Craig David,7 Days DJ Premier Remix,"Get it on and lay straight after that, it's like an natural fact"
Yasiin Bey,Oh No,"We could play nice and decent, or dirty like the 7-1 Precinct"
E. E. Cummings,Buffalo Bills,how do you like your blueeyed boy
Ruff Ryders,Ruff Ryders All Star Freestyle,The doctors had to piece together your face like a collage
Ruff Ryders,Ruff Ryders All Star Freestyle,"You and your man would hate it, I'mma look animated like a cartoon"
Ruff Ryders,Ruff Ryders All Star Freestyle,I run through snow like a reindeer
Ruff Ryders,Ruff Ryders All Star Freestyle,That's how I stay on my toes like my shoes off
Ruff Ryders,Ruff Ryders All Star Freestyle,My strip like a pool hall
Virtuoso,Man of the Hour,Skull spit a full clip chest left holy like a pulpit
Virtuoso,Man of the Hour,Head and neck snapped like a bullwhip
Virtuoso,Man of the Hour,Like a polar cap in Nova Scotia
Virtuoso,Man of the Hour,It's like my biggest fan is trying ta manage a plan which will do me damage
Virtuoso,Man of the Hour,"Shine for light years, steaming hot like the amazon"
Virtuoso,Man of the Hour,Contact fists with compact discs while vinyl scratches like a bitch
Virtuoso,Man of the Hour,"Slicing throats, every full moon like a lycanthrope"
Virtuoso,Man of the Hour,"And put it high in the sky, till it looks like the air is filled with fire-flies"
Nikki Giovanni,Ego-Tripping there may be a reason,Like a bird in the sky
Guns N' Roses,Sweet Child O’ Mine,Where everything was as fresh as the bright blue sky (Sky)
Lil Wayne,Popular,Bust that open suck that pussy like the Dracula
Lil Wayne,Popular,And like a cradle I'll be rockin' you baby (yeah)
Joe Budden,Dear Diary,"But dawg, you was like a mini me, mocked me, envied me"
Joe Budden,Dear Diary,Shit is bound to break up like a pool table
Joe Budden,Dear Diary,So wack dudes'll start feeling like the shit
Joe Budden,Dear Diary,"Now you a stranger, nothing like the way you was"
Gucci Mane,I Think I Love Her,"And she act silly like a kid, give her candy stick"
Gucci Mane,I Think I Love Her,"Singing like the choir, better yet singing like Mya (Bitch)"
Fashawn,Relaxation,Turn your ass over like a nigga stepped out of bounds
Fashawn,Relaxation,"Boy look, these niggas quote my lines like the Lord’s book"
Fashawn,Relaxation,I used to rock sidelines like a coach suit
Fashawn,Relaxation,Grant death wishes like a genie I’m a killer
Fashawn,Relaxation,Lord giveth and he taketh like an Indian giver
Fashawn,Relaxation,Hit the corner like an 8 ball
Big Sean,What U Doin? Bullshitting,I put it in her mouth and now that bitch look like a conehead
A Tribe Called Quest,Scenario,Eatin' Ital Stew like the one Peter Tosh
A Tribe Called Quest,Scenario,Rawr! Rawr! Like a dungeon dragon
Big L,Lifestylez ov da Poor  Dangerous,Just as long as the dice keep rollin
Big L,Lifestylez ov da Poor  Dangerous,"Like a ninja, dressed in black with a ski mask"
Tech N9ne,In the Air,A ride from Kansas City to LA is as long as a fan line
Tech N9ne,In the Air,I'll bend they ass up like a paper clip
Tech N9ne,In the Air,Sound like a bird flying around
Child Rebel Soldier,Dont Stop,And have your car twisted like a blunt
Child Rebel Soldier,Dont Stop,Try to play tough like the leather on a Vuitton
Child Rebel Soldier,Dont Stop,CRS is like a hip-hop Christmas bonus
Charles Hamilton,Windows Media Player,"So log on like a Jamiacan dancer, download me"
Bloodhound Gang,The Bad Touch,"I want you smothered, want you covered, like my Waffle House hash browns"
Bloodhound Gang,The Bad Touch,"Like the lost catacombs of Egypt, only God knows where we stuck it"
Eminem,Evil Deeds,"Without this crowd everywhere I go, but life is like a merry-go-round"
Rumi,The Animal Soul,There's part of us that's like an itch
Eminem,Bad Influence,But I would like an award for the best rapper to get
Eminem,Bad Influence,Looks like a middle finger sideways flippin' me off
Wale,The MC,I swear my mans flippin' birds like a road rager
Wale,The MC,"Im no angel, my hoes like a Sega"
Wale,The MC,"I like a deep thinker,I like a wine drinker"
Wale,The MC,I like a dutty wine bitch with some vagina piercing
Wale,The MC,"I like a good listener,I like a sense of humor"
Wale,The MC,I like a ho that likes a ho just for my amusement
T.S. Eliot,The Love Song of J. Alfred Prufrock,Like a patient etherized upon a table;
T.S. Eliot,The Love Song of J. Alfred Prufrock,Streets that follow like a tedious argument
Chamillionaire,Fire Drill Skill,Hustle like my mother was in love with rubber bands
